source,target,weight,match,type
LoveAV road to 6k,Snoopy,1,8295,Directed
LoveAV road to 6k,i play on 480apm,1,8295,Directed
BiG BaNaNna !,Pineapple KAMIKAZE,1,8350,Directed
Limitedmoon,KappaRoss,1,8366,Directed
Rage,b1ngo,2,8377,Directed
MOLESTERMAN69,GGWP,2,8390,Directed
LoveAV road to 6k,i play on 480apm,6,8426,Directed
ZeTo,3K.Zvan.TheNight,2,8443,Directed
David K,noob,2,8458,Directed
Daemonum Tert,Jake,2,8462,Directed
Ceyler,ALWAYSWANNAFLY,1,8469,Directed
KKK,Supercalifragalisticexpialadoci,1,8493,Directed
....,Bloop,2,8498,Directed
....,YOLO,2,8498,Directed
Csanszi,-.-,2,8502,Directed
Csanszi,NRL,2,8502,Directed
Zero,Snipe Desu~,1,8508,Directed
HorseFeeder,Rage,2,8584,Directed
Carl,Rocco - Davaide and conquer,1,8602,Directed
MrMkay,Sara :),2,8609,Directed
Lặng Lẽ Tổn Thương,Hyy,2,8642,Directed
Lặng Lẽ Tổn Thương,Sleeping_[D]og,2,8642,Directed
Rockstah,SimpLe,1,8659,Directed
Rockstah,Zeenix,1,8659,Directed
happy little clouds,Soul,2,8671,Directed
400 Lux,Mikasa,2,8694,Directed
i play on 480apm,:(,10,8700,Directed
Nexr,Jaythejackass,2,8702,Directed
Nexr,No,2,8702,Directed
Nexr,Totti#Smauking dat Seaweed,2,8702,Directed
Bob™,Cloud,1,8712,Directed
RollarN^,Lars-Olof,1,8743,Directed
David K,< blank >,3,8797,Directed
David K,Kirito,3,8797,Directed
ThaddeusV,rowanyourboats,2,8801,Directed
YOLO,Cristyx,2,8840,Directed
|||||||||||||||||||||||||||||||,PuttPuttPutt,1,8890,Directed
|||||||||||||||||||||||||||||||,Vendetta,1,8890,Directed
Hugs from Jewland,Warrior,1,8892,Directed
Narcotix,MontSta^,1,8902,Directed
never lucky BabyRage,VonL,2,8911,Directed
Saltz,KingJonesGaming,1,8919,Directed
Saltz,bourgeoisie,1,8919,Directed
jaynanners,Jake,1,8927,Directed
Jaythejackass,Mbobo,1,8949,Directed
Jaythejackass,Nexr,1,8949,Directed
Jaythejackass,Totti#Smauking dat Seaweed,1,8949,Directed
LAABANI,tsilokki,1,8959,Directed
phophophopho,-25,1,8961,Directed
Ragnar,killzone,1,8965,Directed
pls nerf kaski,plz nerf me,1,8968,Directed
33,Law,1,8981,Directed
33,Thanatael,1,8981,Directed
33,cocodino,1,8981,Directed
Spooderman,Monkey D. Luffy,1,9005,Directed
Naga.iRoN..PrayForParis,Dwily,1,9037,Directed
Naga.iRoN..PrayForParis,Kaya,1,9037,Directed
Naga.iRoN..PrayForParis,Sighto,1,9037,Directed
Medivh,Albyzai,2,9051,Directed
Smaug,Xcalibur,1,9062,Directed
Deadly^_^,tq-,1,9083,Directed
Mottley,tunymai,1,9087,Directed
Thrower,kappa,1,9105,Directed
Thrower,noob :3,1,9105,Directed
Sorry,SAITAMA,2,9107,Directed
Bruce Wayne,DSwissK,7,9119,Directed
Vendetta,PuttPuttPutt,1,9142,Directed
